t,r2
5.930000000000000000e+02,9.399712590447993898e-01
5.940000000000000000e+02,9.399153417108644382e-01
5.950000000000000000e+02,9.398595446324806701e-01
5.960000000000000000e+02,9.398037578997541219e-01
5.970000000000000000e+02,9.397478712831344172e-01
5.980000000000000000e+02,9.396920367738538227e-01
5.990000000000000000e+02,9.396362351379433653e-01
6.000000000000000000e+02,9.395805751087920044e-01
6.010000000000000000e+02,9.395251286990500272e-01
6.020000000000000000e+02,9.394696903947973299e-01
6.030000000000000000e+02,9.394145893282833670e-01
6.040000000000000000e+02,9.393598149902538941e-01
6.050000000000000000e+02,9.393053607071696343e-01
6.060000000000000000e+02,9.392511312939749724e-01
6.070000000000000000e+02,9.391971512809270672e-01
6.080000000000000000e+02,9.391434835058187769e-01
6.090000000000000000e+02,9.390899769199672065e-01
6.100000000000000000e+02,9.390368229178223114e-01
6.110000000000000000e+02,9.389840975261760647e-01
6.120000000000000000e+02,9.389315742439318102e-01
6.130000000000000000e+02,9.388792790277398215e-01
6.140000000000000000e+02,9.388272660326326680e-01
6.150000000000000000e+02,9.387755262606245488e-01
6.160000000000000000e+02,9.387241987699453949e-01
6.170000000000000000e+02,9.386732121144439889e-01
6.180000000000000000e+02,9.386225215391396093e-01
6.190000000000000000e+02,9.385722375302061327e-01
6.200000000000000000e+02,9.385225062186723921e-01
6.210000000000000000e+02,9.384730112127058765e-01
6.220000000000000000e+02,9.384239965809866302e-01
6.230000000000000000e+02,9.383749926594301405e-01
6.240000000000000000e+02,9.383263969317781061e-01
6.250000000000000000e+02,9.382781979610705925e-01
6.260000000000000000e+02,9.382302296582339940e-01
6.270000000000000000e+02,9.381826581649977959e-01
6.280000000000000000e+02,9.381355952067159665e-01
6.290000000000000000e+02,9.380888494047507908e-01
6.300000000000000000e+02,9.380425421379192663e-01
6.310000000000000000e+02,9.379965289823833929e-01
6.320000000000000000e+02,9.379508270883312182e-01
6.330000000000000000e+02,9.379054655063476797e-01
6.340000000000000000e+02,9.378604868467551592e-01
6.350000000000000000e+02,9.378156636229946219e-01
6.360000000000000000e+02,9.377713663163796953e-01
6.370000000000000000e+02,9.377272633224489340e-01
6.380000000000000000e+02,9.376834388773318540e-01
