t,r2
1.158000000000000000e+03,9.798237244640458643e-01
1.159000000000000000e+03,9.798052190141556261e-01
1.160000000000000000e+03,9.797866655223844701e-01
1.161000000000000000e+03,9.797680900780123547e-01
1.162000000000000000e+03,9.797493979316067580e-01
1.163000000000000000e+03,9.797306539729002672e-01
1.164000000000000000e+03,9.797119544842085581e-01
1.165000000000000000e+03,9.796930755661258372e-01
1.166000000000000000e+03,9.796741901200857194e-01
1.167000000000000000e+03,9.796551545724809795e-01
1.168000000000000000e+03,9.796360924940913373e-01
1.169000000000000000e+03,9.796169320771465072e-01
1.170000000000000000e+03,9.795977545577646550e-01
1.171000000000000000e+03,9.795783938995735740e-01
1.172000000000000000e+03,9.795590322708244146e-01
1.173000000000000000e+03,9.795397176591493782e-01
1.174000000000000000e+03,9.795202047470873419e-01
1.175000000000000000e+03,9.795006017100402751e-01
1.176000000000000000e+03,9.794808131757795078e-01
1.177000000000000000e+03,9.794609652493528884e-01
1.178000000000000000e+03,9.794410394452770507e-01
1.179000000000000000e+03,9.794209934864841482e-01
1.180000000000000000e+03,9.794007686169635685e-01
1.181000000000000000e+03,9.793805681999709911e-01
1.182000000000000000e+03,9.793601417194254255e-01
1.183000000000000000e+03,9.793396568305819949e-01
1.184000000000000000e+03,9.793190943974818818e-01
1.185000000000000000e+03,9.792983409850675169e-01
1.186000000000000000e+03,9.792775639501657414e-01
1.187000000000000000e+03,9.792566162176336020e-01
1.188000000000000000e+03,9.792355954182346833e-01
1.189000000000000000e+03,9.792144381059445513e-01
1.190000000000000000e+03,9.791932637250885252e-01
1.191000000000000000e+03,9.791718652174784543e-01
1.192000000000000000e+03,9.791504166107893870e-01
1.193000000000000000e+03,9.791288704392853148e-01
1.194000000000000000e+03,9.791071551113279536e-01
1.195000000000000000e+03,9.790853891152981880e-01
1.196000000000000000e+03,9.790635419351506608e-01
1.197000000000000000e+03,9.790415018722458118e-01
1.198000000000000000e+03,9.790193711201119475e-01
1.199000000000000000e+03,9.789971361889490131e-01
1.200000000000000000e+03,9.789747857634252259e-01
1.201000000000000000e+03,9.789523784460428812e-01
1.202000000000000000e+03,9.789299530367249202e-01
1.203000000000000000e+03,9.789074471566666658e-01
1.204000000000000000e+03,9.788848442662450022e-01
1.205000000000000000e+03,9.788621506896442170e-01
1.206000000000000000e+03,9.788393648351985110e-01
1.207000000000000000e+03,9.788165294233597269e-01
1.208000000000000000e+03,9.787935488013155272e-01
1.209000000000000000e+03,9.787704848882213815e-01
1.210000000000000000e+03,9.787473549782368387e-01
1.211000000000000000e+03,9.787240812509528931e-01
1.212000000000000000e+03,9.787007523975970180e-01
1.213000000000000000e+03,9.786773417002814224e-01
1.214000000000000000e+03,9.786538295051118164e-01
1.215000000000000000e+03,9.786302844566829862e-01
1.216000000000000000e+03,9.786066195989333583e-01
1.217000000000000000e+03,9.785829950455834370e-01
1.218000000000000000e+03,9.785591197223867388e-01
1.219000000000000000e+03,9.785351834477769017e-01
1.220000000000000000e+03,9.785111690801454598e-01
1.221000000000000000e+03,9.784871675684441161e-01
1.222000000000000000e+03,9.784629556355434188e-01
1.223000000000000000e+03,9.784386778259241968e-01
1.224000000000000000e+03,9.784144319363536901e-01
1.225000000000000000e+03,9.783900550779813798e-01
1.226000000000000000e+03,9.783655930634781450e-01
1.227000000000000000e+03,9.783409127145531459e-01
1.228000000000000000e+03,9.783162257772322068e-01
1.229000000000000000e+03,9.782914233297699269e-01
1.230000000000000000e+03,9.782665713870104529e-01
1.231000000000000000e+03,9.782415898326478620e-01
1.232000000000000000e+03,9.782165902454739159e-01
1.233000000000000000e+03,9.781915586613364466e-01
1.234000000000000000e+03,9.781663418871441307e-01
1.235000000000000000e+03,9.781410898393602116e-01
1.236000000000000000e+03,9.781156760898551683e-01
1.237000000000000000e+03,9.780901836923505677e-01
